Date d'achat,Montant,Magasin,Remarques
"January 31, 2026",€141.59,Leroy Merlin,
"February 28, 2026",€79.40,Leroy Merlin,
"March 31, 2026",€125.23,Leroy Merlin,
"April 30, 2026",€159.26,Leroy Merlin,
"May 31, 2026",€126.78,Leroy Merlin,
"June 30, 2026",€165.05,Leroy Merlin,
"July 1, 2026",€15.80,Leroy Merlin,
"July 2, 2026",€21.00,Leroy Merlin,
"July 12, 2026",€20.36,Leroy Merlin,
"July 13, 2026",€5.29,Castorama,Краска для стен и потолка - белая
"July 16, 2026",€10.00,Castorama,Шурупы и чепики пластиковые 
"July 17, 2026",€17.88,Leroy Merlin,Ножницы для профиля и шурупы для гипсокартона 
"July 21, 2026",€12.51,Leroy Merlin,Клей для пано
"July 22, 2026",€47.60,Leroy Merlin,Клей для пано
"July 23, 2026",€29.75,Leroy Merlin,Клей для пано
"July 30, 2026",€43.61,Leroy Merlin,"Клей универсальный, перчатки, провод, розетка"
"July 31, 2026",€27.70,Leroy Merlin,"Ножи, пластелин для дерева, деревяшки
"
"August 2, 2026",€17.84,Leroy Merlin,"Краска для дерева, наждачка"
"August 5, 2026",€14.55,Leroy Merlin,"Розетки
"
"August 6, 2026",€20.93,Leroy Merlin,"Шурупы, Сверло,  гибкая бита"
"August 8, 2026",€29.76,Leroy Merlin,Клей и электрический автомат
"August 8, 2026",-€14.54,Leroy Merlin,Возврат розеток
"August 11, 2026",€12.09,Leroy Merlin,
"August 12, 2026",€13.91,Leroy Merlin,
"August 12, 2026",€31.91,Leroy Merlin,"Тележка
"
